id,label,Image Path,Last Seen Location,Missing Since,Mobile Number
Anushka Sharma_48.jpg,Anushka Sharma,/content/drive/MyDrive/dataset/Faces/Anushka Sharma_48.jpg,Delhi,2023-10-21,9520280845
Zac Efron_52.jpg,Zac Efron,/content/drive/MyDrive/dataset/Faces/Zac Efron_52.jpg,Toronto,2021-03-12,9762521140
Lisa Kudrow_18.jpg,Lisa Kudrow,/content/drive/MyDrive/dataset/Faces/Lisa Kudrow_18.jpg,Delhi,2024-09-12,9990791293
Elizabeth Olsen_43.jpg,Elizabeth Olsen,/content/drive/MyDrive/dataset/Faces/Elizabeth Olsen_43.jpg,Hyderabad,2021-12-25,9395804181
Lisa Kudrow_2.jpg,Lisa Kudrow,/content/drive/MyDrive/dataset/Faces/Lisa Kudrow_2.jpg,New York,2024-10-27,9435324282
Priyanka Chopra_72.jpg,Priyanka Chopra,/content/drive/MyDrive/dataset/Faces/Priyanka Chopra_72.jpg,Hyderabad,2023-11-02,9271144897
Natalie Portman_21.jpg,Natalie Portman,/content/drive/MyDrive/dataset/Faces/Natalie Portman_21.jpg,Chennai,2023-12-25,9700740426
Marmik_14.jpg,Marmik,/content/drive/MyDrive/dataset/Faces/Marmik_14.jpg,Toronto,2023-07-25,9079160059
Claire Holt_92.jpg,Claire Holt,/content/drive/MyDrive/dataset/Faces/Claire Holt_92.jpg,Hyderabad,2022-06-08,9020899607
Roger Federer_37.jpg,Roger Federer,/content/drive/MyDrive/dataset/Faces/Roger Federer_37.jpg,Paris,2020-08-05,9677176548
Brad Pitt_72.jpg,Brad Pitt,/content/drive/MyDrive/dataset/Faces/Brad Pitt_72.jpg,Delhi,2024-11-05,9233247970
Akshay Kumar_49.jpg,Akshay Kumar,/content/drive/MyDrive/dataset/Faces/Akshay Kumar_49.jpg,Hyderabad,2023-03-17,9699334343
Robert Downey Jr_73.jpg,Robert Downey Jr,/content/drive/MyDrive/dataset/Faces/Robert Downey Jr_73.jpg,Dubai,2024-04-21,9043496725
Zac Efron_9.jpg,Zac Efron,/content/drive/MyDrive/dataset/Faces/Zac Efron_9.jpg,Tokyo,2020-10-02,9250845698
Alexandra Daddario_3.jpg,Alexandra Daddario,/content/drive/MyDrive/dataset/Faces/Alexandra Daddario_3.jpg,Dubai,2025-01-13,9446238458
Alia Bhatt_56.jpg,Alia Bhatt,/content/drive/MyDrive/dataset/Faces/Alia Bhatt_56.jpg,Hyderabad,2021-11-17,9199199174
Hugh Jackman_61.jpg,Hugh Jackman,/content/drive/MyDrive/dataset/Faces/Hugh Jackman_61.jpg,Mumbai,2022-10-04,9456048419
Camila Cabello_75.jpg,Camila Cabello,/content/drive/MyDrive/dataset/Faces/Camila Cabello_75.jpg,Hyderabad,2022-11-25,9274391220
Anushka Sharma_61.jpg,Anushka Sharma,/content/drive/MyDrive/dataset/Faces/Anushka Sharma_61.jpg,Mumbai,2024-12-14,9301985329
Vijay Deverakonda_68.jpg,Vijay Deverakonda,/content/drive/MyDrive/dataset/Faces/Vijay Deverakonda_68.jpg,Tokyo,2022-07-03,9790029811
Ellen Degeneres_72.jpg,Ellen Degeneres,/content/drive/MyDrive/dataset/Faces/Ellen Degeneres_72.jpg,Hyderabad,2022-12-24,9469867939
Andy Samberg_75.jpg,Andy Samberg,/content/drive/MyDrive/dataset/Faces/Andy Samberg_75.jpg,Tokyo,2023-12-10,9918769734
Vijay Deverakonda_33.jpg,Vijay Deverakonda,/content/drive/MyDrive/dataset/Faces/Vijay Deverakonda_33.jpg,New York,2021-07-18,9671690258
Alexandra Daddario_14.jpg,Alexandra Daddario,/content/drive/MyDrive/dataset/Faces/Alexandra Daddario_14.jpg,London,2024-07-14,9174142504
Hrithik Roshan_84.jpg,Hrithik Roshan,/content/drive/MyDrive/dataset/Faces/Hrithik Roshan_84.jpg,Mumbai,2022-05-28,9783125348
Margot Robbie_5.jpg,Margot Robbie,/content/drive/MyDrive/dataset/Faces/Margot Robbie_5.jpg,Paris,2024-08-05,9510813320
Margot Robbie_69.jpg,Margot Robbie,/content/drive/MyDrive/dataset/Faces/Margot Robbie_69.jpg,London,2020-07-14,9174965733
Hrithik Roshan_45.jpg,Hrithik Roshan,/content/drive/MyDrive/dataset/Faces/Hrithik Roshan_45.jpg,Chennai,2025-02-21,9505183386
Anushka Sharma_5.jpg,Anushka Sharma,/content/drive/MyDrive/dataset/Faces/Anushka Sharma_5.jpg,Tokyo,2025-03-25,9148110373
Andy Samberg_74.jpg,Andy Samberg,/content/drive/MyDrive/dataset/Faces/Andy Samberg_74.jpg,Delhi,2025-02-11,9273973405
Courtney Cox_49.jpg,Courtney Cox,/content/drive/MyDrive/dataset/Faces/Courtney Cox_49.jpg,Chennai,2022-10-31,9836583422
Natalie Portman_92.jpg,Natalie Portman,/content/drive/MyDrive/dataset/Faces/Natalie Portman_92.jpg,New York,2024-08-24,9185065905
Charlize Theron_36.jpg,Charlize Theron,/content/drive/MyDrive/dataset/Faces/Charlize Theron_36.jpg,London,2023-02-10,9013180208
Anushka Sharma_33.jpg,Anushka Sharma,/content/drive/MyDrive/dataset/Faces/Anushka Sharma_33.jpg,Chennai,2022-06-09,9854058991
Elizabeth Olsen_54.jpg,Elizabeth Olsen,/content/drive/MyDrive/dataset/Faces/Elizabeth Olsen_54.jpg,Toronto,2023-04-12,9329067547
Robert Downey Jr_19.jpg,Robert Downey Jr,/content/drive/MyDrive/dataset/Faces/Robert Downey Jr_19.jpg,Toronto,2023-03-25,9815244407
Camila Cabello_84.jpg,Camila Cabello,/content/drive/MyDrive/dataset/Faces/Camila Cabello_84.jpg,Toronto,2023-09-25,9576939869
Ellen Degeneres_22.jpg,Ellen Degeneres,/content/drive/MyDrive/dataset/Faces/Ellen Degeneres_22.jpg,Paris,2021-01-17,9235856595
Dwayne Johnson_17.jpg,Dwayne Johnson,/content/drive/MyDrive/dataset/Faces/Dwayne Johnson_17.jpg,Mumbai,2022-06-25,9280366395
Claire Holt_0.jpg,Claire Holt,/content/drive/MyDrive/dataset/Faces/Claire Holt_0.jpg,Paris,2021-08-21,9746244163
Amitabh Bachchan_64.jpg,Amitabh Bachchan,/content/drive/MyDrive/dataset/Faces/Amitabh Bachchan_64.jpg,Paris,2024-02-08,9675619385
Henry Cavill_83.jpg,Henry Cavill,/content/drive/MyDrive/dataset/Faces/Henry Cavill_83.jpg,Tokyo,2020-07-12,9814326439
Anushka Sharma_27.jpg,Anushka Sharma,/content/drive/MyDrive/dataset/Faces/Anushka Sharma_27.jpg,Chennai,2022-02-14,9487070793
Hrithik Roshan_14.jpg,Hrithik Roshan,/content/drive/MyDrive/dataset/Faces/Hrithik Roshan_14.jpg,Mumbai,2020-08-06,9419778107
Priyanka Chopra_43.jpg,Priyanka Chopra,/content/drive/MyDrive/dataset/Faces/Priyanka Chopra_43.jpg,Paris,2021-12-17,9394825684
Hrithik Roshan_100.jpg,Hrithik Roshan,/content/drive/MyDrive/dataset/Faces/Hrithik Roshan_100.jpg,Tokyo,2024-09-28,9940574571
Courtney Cox_78.jpg,Courtney Cox,/content/drive/MyDrive/dataset/Faces/Courtney Cox_78.jpg,Paris,2021-08-06,9525601371
Amitabh Bachchan_31.jpg,Amitabh Bachchan,/content/drive/MyDrive/dataset/Faces/Amitabh Bachchan_31.jpg,Mumbai,2023-10-06,9046879730
Alexandra Daddario_27.jpg,Alexandra Daddario,/content/drive/MyDrive/dataset/Faces/Alexandra Daddario_27.jpg,Delhi,2020-04-24,9942968448
Henry Cavill_77.jpg,Henry Cavill,/content/drive/MyDrive/dataset/Faces/Henry Cavill_77.jpg,Hyderabad,2023-08-19,9891896087
Tom Cruise_11.jpg,Tom Cruise,/content/drive/MyDrive/dataset/Faces/Tom Cruise_11.jpg,New York,2023-04-02,9990366587
Amitabh Bachchan_25.jpg,Amitabh Bachchan,/content/drive/MyDrive/dataset/Faces/Amitabh Bachchan_25.jpg,London,2024-05-12,9043036835
Courtney Cox_56.jpg,Courtney Cox,/content/drive/MyDrive/dataset/Faces/Courtney Cox_56.jpg,Chennai,2022-04-18,9727207084
Andy Samberg_35.jpg,Andy Samberg,/content/drive/MyDrive/dataset/Faces/Andy Samberg_35.jpg,Hyderabad,2023-03-09,9178495040
Alia Bhatt_50.jpg,Alia Bhatt,/content/drive/MyDrive/dataset/Faces/Alia Bhatt_50.jpg,New York,2025-03-17,9486559877
Brad Pitt_115.jpg,Brad Pitt,/content/drive/MyDrive/dataset/Faces/Brad Pitt_115.jpg,London,2022-02-13,9996505393
Henry Cavill_21.jpg,Henry Cavill,/content/drive/MyDrive/dataset/Faces/Henry Cavill_21.jpg,Mumbai,2024-08-02,9227913846
Roger Federer_16.jpg,Roger Federer,/content/drive/MyDrive/dataset/Faces/Roger Federer_16.jpg,Chennai,2024-05-13,9888014045
Camila Cabello_70.jpg,Camila Cabello,/content/drive/MyDrive/dataset/Faces/Camila Cabello_70.jpg,Toronto,2023-07-07,9843611921
Hrithik Roshan_80.jpg,Hrithik Roshan,/content/drive/MyDrive/dataset/Faces/Hrithik Roshan_80.jpg,Mumbai,2024-03-23,9892952177
Roger Federer_76.jpg,Roger Federer,/content/drive/MyDrive/dataset/Faces/Roger Federer_76.jpg,Hyderabad,2022-11-25,9497293885
Virat Kohli_7.jpg,Virat Kohli,/content/drive/MyDrive/dataset/Faces/Virat Kohli_7.jpg,Hyderabad,2022-12-21,9649627711
Dwayne Johnson_27.jpg,Dwayne Johnson,/content/drive/MyDrive/dataset/Faces/Dwayne Johnson_27.jpg,Tokyo,2024-04-10,9927007410
Claire Holt_56.jpg,Claire Holt,/content/drive/MyDrive/dataset/Faces/Claire Holt_56.jpg,New York,2023-07-03,9998044148
Brad Pitt_95.jpg,Brad Pitt,/content/drive/MyDrive/dataset/Faces/Brad Pitt_95.jpg,Tokyo,2020-11-26,9761421116
Billie Eilish_57.jpg,Billie Eilish,/content/drive/MyDrive/dataset/Faces/Billie Eilish_57.jpg,Chennai,2022-03-13,9625530459
Akshay Kumar_48.jpg,Akshay Kumar,/content/drive/MyDrive/dataset/Faces/Akshay Kumar_48.jpg,Paris,2025-03-15,9549326159
Claire Holt_54.jpg,Claire Holt,/content/drive/MyDrive/dataset/Faces/Claire Holt_54.jpg,Tokyo,2021-07-18,9608406340
Brad Pitt_32.jpg,Brad Pitt,/content/drive/MyDrive/dataset/Faces/Brad Pitt_32.jpg,Hyderabad,2022-06-07,9515761181
Zac Efron_38.jpg,Zac Efron,/content/drive/MyDrive/dataset/Faces/Zac Efron_38.jpg,Dubai,2023-08-06,9170329275
Charlize Theron_43.jpg,Charlize Theron,/content/drive/MyDrive/dataset/Faces/Charlize Theron_43.jpg,Tokyo,2022-06-29,9111272377
Henry Cavill_9.jpg,Henry Cavill,/content/drive/MyDrive/dataset/Faces/Henry Cavill_9.jpg,Tokyo,2021-10-21,9746632256
Hrithik Roshan_91.jpg,Hrithik Roshan,/content/drive/MyDrive/dataset/Faces/Hrithik Roshan_91.jpg,Tokyo,2023-01-26,9095337723
Brad Pitt_82.jpg,Brad Pitt,/content/drive/MyDrive/dataset/Faces/Brad Pitt_82.jpg,New York,2021-02-10,9489675219
Zac Efron_87.jpg,Zac Efron,/content/drive/MyDrive/dataset/Faces/Zac Efron_87.jpg,London,2023-05-17,9189690203
Priyanka Chopra_81.jpg,Priyanka Chopra,/content/drive/MyDrive/dataset/Faces/Priyanka Chopra_81.jpg,Paris,2022-11-28,9711947913
Hrithik Roshan_99.jpg,Hrithik Roshan,/content/drive/MyDrive/dataset/Faces/Hrithik Roshan_99.jpg,Toronto,2020-03-29,9265475281
Hrithik Roshan_66.jpg,Hrithik Roshan,/content/drive/MyDrive/dataset/Faces/Hrithik Roshan_66.jpg,London,2023-12-27,9322801452
Lisa Kudrow_43.jpg,Lisa Kudrow,/content/drive/MyDrive/dataset/Faces/Lisa Kudrow_43.jpg,Toronto,2024-06-14,9441112688
Zac Efron_55.jpg,Zac Efron,/content/drive/MyDrive/dataset/Faces/Zac Efron_55.jpg,London,2024-04-12,9110038902
Zac Efron_11.jpg,Zac Efron,/content/drive/MyDrive/dataset/Faces/Zac Efron_11.jpg,Tokyo,2022-07-10,9784705392
Vijay Deverakonda_59.jpg,Vijay Deverakonda,/content/drive/MyDrive/dataset/Faces/Vijay Deverakonda_59.jpg,New York,2022-04-20,9086988870
Priyanka Chopra_98.jpg,Priyanka Chopra,/content/drive/MyDrive/dataset/Faces/Priyanka Chopra_98.jpg,Tokyo,2024-01-24,9029431907
Jessica Alba_21.jpg,Jessica Alba,/content/drive/MyDrive/dataset/Faces/Jessica Alba_21.jpg,London,2022-05-01,9530020019
Natalie Portman_6.jpg,Natalie Portman,/content/drive/MyDrive/dataset/Faces/Natalie Portman_6.jpg,Dubai,2023-11-29,9184514783
Tom Cruise_18.jpg,Tom Cruise,/content/drive/MyDrive/dataset/Faces/Tom Cruise_18.jpg,Delhi,2020-12-09,9639309097
Zac Efron_12.jpg,Zac Efron,/content/drive/MyDrive/dataset/Faces/Zac Efron_12.jpg,London,2023-03-31,9769495838
Andy Samberg_11.jpg,Andy Samberg,/content/drive/MyDrive/dataset/Faces/Andy Samberg_11.jpg,Hyderabad,2021-07-31,9168336135
Hrithik Roshan_73.jpg,Hrithik Roshan,/content/drive/MyDrive/dataset/Faces/Hrithik Roshan_73.jpg,Paris,2024-08-01,9613431989
Ellen Degeneres_48.jpg,Ellen Degeneres,/content/drive/MyDrive/dataset/Faces/Ellen Degeneres_48.jpg,Tokyo,2023-09-20,9163933450
Margot Robbie_45.jpg,Margot Robbie,/content/drive/MyDrive/dataset/Faces/Margot Robbie_45.jpg,London,2023-09-15,9751539968
Billie Eilish_79.jpg,Billie Eilish,/content/drive/MyDrive/dataset/Faces/Billie Eilish_79.jpg,Paris,2023-06-11,9926847965
Roger Federer_24.jpg,Roger Federer,/content/drive/MyDrive/dataset/Faces/Roger Federer_24.jpg,Hyderabad,2023-10-15,9135086195
Robert Downey Jr_105.jpg,Robert Downey Jr,/content/drive/MyDrive/dataset/Faces/Robert Downey Jr_105.jpg,Tokyo,2022-05-25,9160447733
Jessica Alba_72.jpg,Jessica Alba,/content/drive/MyDrive/dataset/Faces/Jessica Alba_72.jpg,Tokyo,2022-08-23,9217531116
Henry Cavill_95.jpg,Henry Cavill,/content/drive/MyDrive/dataset/Faces/Henry Cavill_95.jpg,Paris,2022-02-04,9938379608
Roger Federer_53.jpg,Roger Federer,/content/drive/MyDrive/dataset/Faces/Roger Federer_53.jpg,Chennai,2022-12-01,9866302981
Alia Bhatt_39.jpg,Alia Bhatt,/content/drive/MyDrive/dataset/Faces/Alia Bhatt_39.jpg,Dubai,2021-12-17,9148903094
Brad Pitt_97.jpg,Brad Pitt,/content/drive/MyDrive/dataset/Faces/Brad Pitt_97.jpg,New York,2024-10-25,9732144674
Amitabh Bachchan_2.jpg,Amitabh Bachchan,/content/drive/MyDrive/dataset/Faces/Amitabh Bachchan_2.jpg,Delhi,2022-07-06,9732102866
Billie Eilish_17.jpg,Billie Eilish,/content/drive/MyDrive/dataset/Faces/Billie Eilish_17.jpg,New York,2020-12-01,9184900265
Charlize Theron_32.jpg,Charlize Theron,/content/drive/MyDrive/dataset/Faces/Charlize Theron_32.jpg,Dubai,2021-01-28,9620456435
Brad Pitt_3.jpg,Brad Pitt,/content/drive/MyDrive/dataset/Faces/Brad Pitt_3.jpg,Delhi,2022-10-28,9179678842
Priyanka Chopra_55.jpg,Priyanka Chopra,/content/drive/MyDrive/dataset/Faces/Priyanka Chopra_55.jpg,Delhi,2024-06-15,9883685962
Elizabeth Olsen_52.jpg,Elizabeth Olsen,/content/drive/MyDrive/dataset/Faces/Elizabeth Olsen_52.jpg,Tokyo,2020-08-01,9369504960
Brad Pitt_108.jpg,Brad Pitt,/content/drive/MyDrive/dataset/Faces/Brad Pitt_108.jpg,Tokyo,2022-08-22,9509256852
Amitabh Bachchan_70.jpg,Amitabh Bachchan,/content/drive/MyDrive/dataset/Faces/Amitabh Bachchan_70.jpg,Hyderabad,2022-09-25,9757987318
Robert Downey Jr_59.jpg,Robert Downey Jr,/content/drive/MyDrive/dataset/Faces/Robert Downey Jr_59.jpg,Chennai,2023-04-16,9895142363
Natalie Portman_58.jpg,Natalie Portman,/content/drive/MyDrive/dataset/Faces/Natalie Portman_58.jpg,Dubai,2025-03-05,9745846128
Claire Holt_34.jpg,Claire Holt,/content/drive/MyDrive/dataset/Faces/Claire Holt_34.jpg,London,2020-12-08,9904170238
Billie Eilish_7.jpg,Billie Eilish,/content/drive/MyDrive/dataset/Faces/Billie Eilish_7.jpg,Dubai,2023-11-15,9940742131
Brad Pitt_34.jpg,Brad Pitt,/content/drive/MyDrive/dataset/Faces/Brad Pitt_34.jpg,Hyderabad,2024-05-16,9320085294
Marmik_26.jpg,Marmik,/content/drive/MyDrive/dataset/Faces/Marmik_26.jpg,Hyderabad,2023-05-06,9788021490
Alia Bhatt_58.jpg,Alia Bhatt,/content/drive/MyDrive/dataset/Faces/Alia Bhatt_58.jpg,Delhi,2022-01-03,9160546366
Charlize Theron_51.jpg,Charlize Theron,/content/drive/MyDrive/dataset/Faces/Charlize Theron_51.jpg,Paris,2022-03-14,9253844184
Lisa Kudrow_56.jpg,Lisa Kudrow,/content/drive/MyDrive/dataset/Faces/Lisa Kudrow_56.jpg,Mumbai,2022-10-08,9551806887
Courtney Cox_47.jpg,Courtney Cox,/content/drive/MyDrive/dataset/Faces/Courtney Cox_47.jpg,Delhi,2021-04-24,9984784771
Priyanka Chopra_23.jpg,Priyanka Chopra,/content/drive/MyDrive/dataset/Faces/Priyanka Chopra_23.jpg,Delhi,2024-07-17,9738979540
Andy Samberg_62.jpg,Andy Samberg,/content/drive/MyDrive/dataset/Faces/Andy Samberg_62.jpg,Delhi,2020-08-06,9054257620
Alexandra Daddario_48.jpg,Alexandra Daddario,/content/drive/MyDrive/dataset/Faces/Alexandra Daddario_48.jpg,Dubai,2022-10-15,9986494526
Natalie Portman_60.jpg,Natalie Portman,/content/drive/MyDrive/dataset/Faces/Natalie Portman_60.jpg,Paris,2022-05-29,9323332036
Claire Holt_40.jpg,Claire Holt,/content/drive/MyDrive/dataset/Faces/Claire Holt_40.jpg,Toronto,2023-09-29,9919003238
Billie Eilish_9.jpg,Billie Eilish,/content/drive/MyDrive/dataset/Faces/Billie Eilish_9.jpg,New York,2022-11-19,9744828495
Alia Bhatt_71.jpg,Alia Bhatt,/content/drive/MyDrive/dataset/Faces/Alia Bhatt_71.jpg,Chennai,2022-01-28,9739870879
Alexandra Daddario_85.jpg,Alexandra Daddario,/content/drive/MyDrive/dataset/Faces/Alexandra Daddario_85.jpg,Toronto,2024-11-23,9327856498
Vijay Deverakonda_27.jpg,Vijay Deverakonda,/content/drive/MyDrive/dataset/Faces/Vijay Deverakonda_27.jpg,Paris,2021-10-16,9091295116
Charlize Theron_1.jpg,Charlize Theron,/content/drive/MyDrive/dataset/Faces/Charlize Theron_1.jpg,Dubai,2020-12-27,9722751763
Andy Samberg_1.jpg,Andy Samberg,/content/drive/MyDrive/dataset/Faces/Andy Samberg_1.jpg,Mumbai,2021-12-14,9902195109
Vijay Deverakonda_41.jpg,Vijay Deverakonda,/content/drive/MyDrive/dataset/Faces/Vijay Deverakonda_41.jpg,London,2023-10-05,9165209979
Alia Bhatt_37.jpg,Alia Bhatt,/content/drive/MyDrive/dataset/Faces/Alia Bhatt_37.jpg,Dubai,2021-03-31,9218367915
Hrithik Roshan_86.jpg,Hrithik Roshan,/content/drive/MyDrive/dataset/Faces/Hrithik Roshan_86.jpg,Paris,2023-08-04,9894642774
Hugh Jackman_86.jpg,Hugh Jackman,/content/drive/MyDrive/dataset/Faces/Hugh Jackman_86.jpg,Paris,2020-10-10,9497794912
Roger Federer_56.jpg,Roger Federer,/content/drive/MyDrive/dataset/Faces/Roger Federer_56.jpg,Delhi,2024-11-19,9697779312
Brad Pitt_62.jpg,Brad Pitt,/content/drive/MyDrive/dataset/Faces/Brad Pitt_62.jpg,Mumbai,2023-11-01,9091505919
Hrithik Roshan_62.jpg,Hrithik Roshan,/content/drive/MyDrive/dataset/Faces/Hrithik Roshan_62.jpg,Dubai,2023-04-03,9682855104
Lisa Kudrow_3.jpg,Lisa Kudrow,/content/drive/MyDrive/dataset/Faces/Lisa Kudrow_3.jpg,Dubai,2022-05-05,9648782954
Tom Cruise_19.jpg,Tom Cruise,/content/drive/MyDrive/dataset/Faces/Tom Cruise_19.jpg,New York,2021-04-07,9854864726
Ellen Degeneres_13.jpg,Ellen Degeneres,/content/drive/MyDrive/dataset/Faces/Ellen Degeneres_13.jpg,New York,2020-04-21,9818603561
Ellen Degeneres_38.jpg,Ellen Degeneres,/content/drive/MyDrive/dataset/Faces/Ellen Degeneres_38.jpg,Tokyo,2022-01-31,9644699719
Priyanka Chopra_76.jpg,Priyanka Chopra,/content/drive/MyDrive/dataset/Faces/Priyanka Chopra_76.jpg,Paris,2024-09-30,9783541520
Alia Bhatt_34.jpg,Alia Bhatt,/content/drive/MyDrive/dataset/Faces/Alia Bhatt_34.jpg,Tokyo,2024-05-28,9400306881
Charlize Theron_71.jpg,Charlize Theron,/content/drive/MyDrive/dataset/Faces/Charlize Theron_71.jpg,Hyderabad,2023-07-21,9908637371
Henry Cavill_49.jpg,Henry Cavill,/content/drive/MyDrive/dataset/Faces/Henry Cavill_49.jpg,London,2021-12-28,9783727203
Alia Bhatt_70.jpg,Alia Bhatt,/content/drive/MyDrive/dataset/Faces/Alia Bhatt_70.jpg,New York,2022-10-13,9218485903
Robert Downey Jr_11.jpg,Robert Downey Jr,/content/drive/MyDrive/dataset/Faces/Robert Downey Jr_11.jpg,Paris,2023-10-21,9149651120
Lisa Kudrow_67.jpg,Lisa Kudrow,/content/drive/MyDrive/dataset/Faces/Lisa Kudrow_67.jpg,Dubai,2021-10-04,9436942483
Hrithik Roshan_53.jpg,Hrithik Roshan,/content/drive/MyDrive/dataset/Faces/Hrithik Roshan_53.jpg,Chennai,2020-11-21,9830731189
Natalie Portman_102.jpg,Natalie Portman,/content/drive/MyDrive/dataset/Faces/Natalie Portman_102.jpg,Toronto,2025-01-16,9860982578
Natalie Portman_44.jpg,Natalie Portman,/content/drive/MyDrive/dataset/Faces/Natalie Portman_44.jpg,Tokyo,2022-11-16,9817005865
Ellen Degeneres_50.jpg,Ellen Degeneres,/content/drive/MyDrive/dataset/Faces/Ellen Degeneres_50.jpg,Delhi,2021-08-19,9416310383
Robert Downey Jr_27.jpg,Robert Downey Jr,/content/drive/MyDrive/dataset/Faces/Robert Downey Jr_27.jpg,New York,2023-08-13,9064811993
Courtney Cox_67.jpg,Courtney Cox,/content/drive/MyDrive/dataset/Faces/Courtney Cox_67.jpg,London,2024-03-20,9304533407
Jessica Alba_41.jpg,Jessica Alba,/content/drive/MyDrive/dataset/Faces/Jessica Alba_41.jpg,Chennai,2024-09-29,9771798219
Vijay Deverakonda_29.jpg,Vijay Deverakonda,/content/drive/MyDrive/dataset/Faces/Vijay Deverakonda_29.jpg,Tokyo,2023-06-27,9283134293
Billie Eilish_48.jpg,Billie Eilish,/content/drive/MyDrive/dataset/Faces/Billie Eilish_48.jpg,Hyderabad,2020-09-14,9351848811
Amitabh Bachchan_43.jpg,Amitabh Bachchan,/content/drive/MyDrive/dataset/Faces/Amitabh Bachchan_43.jpg,Chennai,2020-09-28,9923800903
Virat Kohli_5.jpg,Virat Kohli,/content/drive/MyDrive/dataset/Faces/Virat Kohli_5.jpg,Tokyo,2021-12-14,9347711925
Margot Robbie_28.jpg,Margot Robbie,/content/drive/MyDrive/dataset/Faces/Margot Robbie_28.jpg,Toronto,2020-06-20,9773260205
Roger Federer_14.jpg,Roger Federer,/content/drive/MyDrive/dataset/Faces/Roger Federer_14.jpg,London,2022-02-13,9583523506
Camila Cabello_83.jpg,Camila Cabello,/content/drive/MyDrive/dataset/Faces/Camila Cabello_83.jpg,Tokyo,2020-06-18,9834678043
Hugh Jackman_74.jpg,Hugh Jackman,/content/drive/MyDrive/dataset/Faces/Hugh Jackman_74.jpg,Chennai,2025-02-27,9059941780
Alia Bhatt_32.jpg,Alia Bhatt,/content/drive/MyDrive/dataset/Faces/Alia Bhatt_32.jpg,Toronto,2024-06-29,9586677502
Jessica Alba_70.jpg,Jessica Alba,/content/drive/MyDrive/dataset/Faces/Jessica Alba_70.jpg,Toronto,2024-10-06,9586827487
Robert Downey Jr_64.jpg,Robert Downey Jr,/content/drive/MyDrive/dataset/Faces/Robert Downey Jr_64.jpg,Hyderabad,2024-03-21,9904135680
